"info","date","|","|__name","|__size","|__r__001","|__r__002","|__r__003","|__v__001","|__v__002","|__v__003"
"Solar planets database, including positions and velocities at the given date","2018-01-01","1","Mercury","0.1","-0.3877081979511674","-0.0077847346908167","0.03493213369519331","-0.005288319535531131","-0.02691956351115996","-0.001714528496530611"
"","","2","Venus","0.15","0.0711289554079218","-0.7236895081570862","-0.01403169883793853","0.01999285129672666","0.001906111736867988","-0.001127570469009755"
"","","3","Earth","0.2","-0.1752173047680441","0.9675921579569661","-4.00321327278627E-05","-0.01720893715482063","-0.003129664035086283","1.99729853800654E-07"
"","","4","Mars","0.25","-1.583672712003512","-0.389028323418006","0.03071411326349248","0.003860856732981549","-0.01239426308040891","-0.0003544723155743041"
"","","5","Jupiter","0.5","-4.261270574476617","-3.36732479595647","0.109334735080188","0.004591628663272942","-0.005570095506613115","-7.96139218786295E-05"
"","","6","Saturn","0.5","0.04609382491571127","-10.06314777466166","0.1730750881285004","0.005278186238728192","3.57738725245695E-06","-0.000210139607342768"
"","","7","Uranus","0.5","17.72148464512667","9.056872529432434","-0.1958274683496485","-0.001813662916730793","0.003313449573971211","3.57565393108465E-05"
"","","8","Neptune","0.5","28.67982396860969","-8.597789169401876","-0.483947958170578","0.0008857594335282716","0.003020749718532856","-8.27299205040856E-05"
