"info","date","|","|__name","|__size","|__r__001","|__r__002","|__r__003","|__v__001","|__v__002","|__v__003"
"Data for errors 2020-12-01","2020-12-01","1","Mercury","0.1","-0.3610096902141921","-0.2433764677472587","0.01322814382855237","0.009954571571268776","-0.02208548501992739","-0.002717883360935096"
"","","2","Venus","0.15","-0.7185245303490148","-0.02609353322330534","0.04110507256054952","0.0006133424016203282","-0.02030293060672219","-0.0003140147519691997"
"","","3","Earth","0.2","0.3539505008845503","0.9203456671424406","-4.41677756330192E-05","-0.01633820654399706","0.006110730591534221","-2.42028037077019E-07"
"","","4","Mars","0.25","0.9682344857395416","1.105391108540013","-0.0005873569618689672","-0.00999467592014884","0.0104125360534292","0.0004633905534121726"
"","","5","Jupiter","0.5","2.853219588877652","-4.234547377651105","-0.04624832947857104","0.006173657874053266","0.004577402578241995","-0.0001571381704290028"
"","","6","Saturn","0.5","5.354522161435581","-8.43571597233288","-0.06644541547245848","0.004406828587999399","0.002980175447081194","-0.0002271486463260504"
"","","7","Uranus","0.5","15.42732264270915","12.37225330603014","-0.1539046342337753","-0.002483928435654321","0.002889399460079678","4.27636420438502E-05"
"","","8","Neptune","0.5","29.44379615423226","-5.328363868813943","-0.568911785731628","0.000544693296641509","0.003113165038746526","-7.66057184524292E-05"
