"info","date","|","|__name","|__size","|__r__001","|__r__002","|__r__003","|__v__001","|__v__002","|__v__003"
"Data for errors 2018-03-01","2018-03-01","1","Mercury","0.1","0.3108081141176797","0.1185726395563621","-0.01882441389187181","-0.01549295190501968","0.02753709244408479","0.003671458142455882"
"","","2","Venus","0.15","0.7157491263642856","0.1144959567939697","-0.03973273456951278","-0.003272504078426272","0.0198806058291598","0.0004615561422435638"
"","","3","Earth","0.2","-0.931587362221211","0.3372633562364898","-1.04582556708095E-05","-0.006136190090977222","-0.01624117955083416","7.11569471078298E-07"
"","","4","Mars","0.25","-1.174864023424884","-1.043446847441002","0.006968444973311273","0.009817657806584846","-0.00926620571835886","-0.0004350974665090897"
"","","5","Jupiter","0.5","-3.976934261133602","-3.68476510565764","0.1042906280759402","0.005042098477208116","-0.005184477273957397","-9.12901132346948E-05"
"","","6","Saturn","0.5","0.3574392235640366","-10.05783457981646","0.1605912121645039","0.005274986272293153","0.0001765066133399685","-0.0002130056687161403"
"","","7","Uranus","0.5","17.61333441106114","9.251782183274164","-0.1937053172772405","-0.001852430843892304","0.003293577225763255","3.61812917717246E-05"
"","","8","Neptune","0.5","28.73154507552641","-8.41938820689031","-0.4888199438721561","0.0008674745987415414","0.003026716502518469","-8.2420379805216E-05"
