"info","date","|","|__name","|__size","|__r__001","|__r__002","|__r__003","|__v__001","|__v__002","|__v__003"
"Data for errors 2019-06-01","2019-06-01","1","Mercury","0.1","-0.1823923010668062","0.2663937691385201","0.03850015747751438","-0.02889000108888787","-0.01480132872669956","0.001440799372673546"
"","","2","Venus","0.15","0.6750887151198232","0.2619561943838339","-0.03536332466812176","-0.007383939171324602","0.01876775902849921","0.0006836263006011629"
"","","3","Earth","0.2","-0.347060218860711","-0.9526882610172305","4.43865769285424E-05","0.0158850070511323","-0.005953816160718068","2.31342912636928E-07"
"","","4","Mars","0.25","-0.7668796492203619","1.437771062789582","0.04894296549774338","-0.01181896936916776","-0.005394799606087833","0.0001769550283898778"
"","","5","Jupiter","0.5","-1.062576675766453","-5.19489675311865","0.04535224215640367","0.007309197092003598","-0.001157417468474514","-0.0001587329721340862"
"","","6","Saturn","0.5","2.733246772744495","-9.673232026839985","0.05936345434934113","0.005069029555186341","0.00149946908722448","-0.0002277582713304842"
"","","7","Uranus","0.5","16.69918517604714","10.71946579336499","-0.1764482641961184","-0.002146392129298891","0.003125383799455119","3.93080244343519E-05"
"","","8","Neptune","0.5","29.09529787196552","-7.026112324570725","-0.5259263017082679","0.0007237010295573835","0.003069892369651517","-7.99274809047217E-05"
