"info","date","|","|__name","|__size","|__r__001","|__r__002","|__r__003","|__v__001","|__v__002","|__v__003"
"Data for errors 2020-03-01","2020-03-01","1","Mercury","0.1","-0.3756585419498363","0.03852212116332782","0.03760869391781434","-0.008717455787494091","-0.02677941251390429","-0.001388574371529598"
"","","2","Venus","0.15","-0.1302551967707161","0.7070318221102979","0.01721810545221461","-0.01996006982127758","-0.003775464819233055","0.001100030523458204"
"","","3","Earth","0.2","-0.9345257026636888","0.3292481190289293","-1.26898248579887E-05","-0.005997836017928419","-0.01629166673813712","7.63425742603261E-07"
"","","4","Mars","0.25","-0.6652686738239281","-1.361915962914169","-0.01221507493598862","0.01310149357647085","-0.004940716340583577","-0.0004249698017120485"
"","","5","Jupiter","0.5","0.9690807582489104","-5.114623518665467","-0.0004383239270602805","0.007330705698035082","0.001762712545830482","-0.0001713375023888172"
"","","6","Saturn","0.5","4.086976894062","-9.157394523474833","-0.003466920823418465","0.004793541698388133","0.002259840021098532","-0.0002300123123403187"
"","","7","Uranus","0.5","16.08757298996112","11.56054285404228","-0.165434345271142","-0.002317214442598894","0.003012251426301897","4.10756161637539E-05"
"","","8","Neptune","0.5","29.28150591801904","-6.181761705114424","-0.5476080077152778","0.0006351777079176097","0.003092772466905004","-7.83143400129693E-05"
