"info","date","|","|__name","|__size","|__r__001","|__r__002","|__r__003","|__v__001","|__v__002","|__v__003"
"Data for errors 2019-09-01","2019-09-01","1","Mercury","0.1","-0.2844150192915278","0.1905724152659264","0.04166348241510674","-0.02141520794277887","-0.02220216673002869","0.000150311111580684"
"","","2","Venus","0.15","-0.706806510561781","0.1276345545679607","0.04253922916296119","-0.003700103117740313","-0.01999403442105016","-6.08217017780614E-05"
"","","3","Earth","0.2","0.9360555804578864","-0.3777966120471493","1.50551779180432E-05","0.006158642713647577","0.01588883218261087","-7.41515476143881E-07"
"","","4","Mars","0.25","-1.552390715126549","0.6022381451849809","0.05070870768160186","-0.004538181819791605","-0.01185048530831394","-0.0001369701990888842"
"","","5","Jupiter","0.5","-0.3830528448793348","-5.257215286348909","0.0304070919577811","0.007442590101250821","-0.0001925640593641196","-0.0001657253068540156"
"","","6","Saturn","0.5","3.196015050686074","-9.523334163586608","0.03834468146460193","0.004989046520460998","0.001758602662154431","-0.0002290798451371762"
"","","7","Uranus","0.5","16.49905220703855","11.00530943360555","-0.1728041377110637","-0.002204223561521616","0.00308842652134578","3.99082411996799E-05"
"","","8","Neptune","0.5","29.16052104230316","-6.743314090367579","-0.53325525809901","0.0006941826945850687","0.003077842769116568","-7.93983220810733E-05"
