"info","date","|","|__name","|__size","|__r__001","|__r__002","|__r__003","|__v__001","|__v__002","|__v__003"
"Data for errors 2018-06-01","2018-06-01","1","Mercury","0.1","0.2287116340975094","0.2189125682170375","-0.003093775611659177","-0.02500962279559463","0.02151556855146936","0.004052475690568567"
"","","2","Venus","0.15","-0.6627300794060945","0.275411546361613","0.04202186608619857","-0.007854210514739422","-0.01877235535018466","0.0001957294351725119"
"","","3","Earth","0.2","-0.3430690801301881","-0.9541533644635013","4.21250400141951E-05","0.01591004040930764","-0.005885722081337142","1.90902130363126E-07"
"","","4","Mars","0.25","0.008622741738997764","-1.45439000814164","-0.03068529930940681","0.01452099636381365","0.0012847264203936","-0.0003294214817883651"
"","","5","Jupiter","0.5","-3.482954344599308","-4.13146570678831","0.09509266121859548","0.00568355256823475","-0.004512476835711739","-0.0001084323885897716"
"","","6","Saturn","0.5","0.8421182135287381","-10.0292084681006","0.1408046292490823","0.005259367048267185","0.000445711109005047","-0.0002170506180302742"
"","","7","Uranus","0.5","17.44014560288184","9.553330600001352","-0.1903467445524798","-0.001912441720521306","0.003261674250259915","3.68281378161887E-05"
"","","8","Neptune","0.5","28.81003920444023","-8.140513024750863","-0.4963804381384403","0.0008389222729381441","0.003035773994515643","-8.19381463797103E-05"
