"info","date","|","|__name","|__size","|__r__001","|__r__002","|__r__003","|__v__001","|__v__002","|__v__003"
"Data for errors 2019-12-01","2019-12-01","1","Mercury","0.1","-0.3397162482844107","0.1179729441938765","0.04080404839815078","-0.01504265080337234","-0.02537738274969423","-0.0006937544462359349"
"","","2","Venus","0.15","0.5141061204610647","-0.5144027807963552","-0.03672590636801695","0.01417531915950927","0.0142234189992715","-0.0006228523178148315"
"","","3","Earth","0.2","0.3660985293711116","0.9156911021355749","-4.29049824952521E-05","-0.01625584161137211","0.006321850052853433","-2.50865763661766E-07"
"","","4","Mars","0.25","-1.529603380527268","-0.5358018716264458","0.02630240167184954","0.005148323027377135","-0.01201021446764422","-0.0003779889483776233"
"","","5","Jupiter","0.5","0.2955463127720329","-5.230464531022156","0.01511254260439071","0.007450652649597627","0.000782662465079967","-0.000169955605968476"
"","","6","Saturn","0.5","3.645945951132651","-9.351770324018993","0.01746000597576085","0.00489744780304033","0.002011379043943412","-0.0002298286230464606"
"","","7","Uranus","0.5","16.29588488408069","11.28465833354939","-0.1691459033836406","-0.002260950183603192","0.003050933858422612","4.04935440899514E-05"
"","","8","Neptune","0.5","29.22235752692481","-6.462878372394614","-0.54045639698581","0.0006647905405574988","0.003085528915053104","-7.88642660883081E-05"
