"info","date","|","|__name","|__size","|__r__001","|__r__002","|__r__003","|__v__001","|__v__002","|__v__003"
"Data for errors 2020-09-01","2020-09-01","1","Mercury","0.1","-0.384909649067153","-0.1727167687035238","0.02119488489075276","0.005707076535910035","-0.02444751825212506","-0.002521259375003117"
"","","2","Venus","0.15","0.5929507263938252","0.4142447546237756","-0.02853231017609731","-0.01164585903937774","0.01649357784216506","0.0008983807711490797"
"","","3","Earth","0.2","0.9405464050879284","-0.3659233761569926","1.43820657569544E-05","0.005957900536599854","0.01596910198909947","-7.63065123188068E-07"
"","","4","Mars","0.25","1.3797465186884","-0.1393478639442165","-0.03676720335638692","0.001942629893938183","0.01511819666967212","0.0002691519839996365"
"","","5","Jupiter","0.5","2.267051444246959","-4.611135867980094","-0.03156980368877209","0.006687999796482108","0.00368944364529592","-0.0001649547253130418"
"","","6","Saturn","0.5","4.94704801773088","-8.6963794099714","-0.04570156332462441","0.004546765268937989","0.002747656018078064","-0.0002286684795238006"
"","","7","Uranus","0.5","15.65087936628462","12.10740531592274","-0.1577714334754306","-0.002429259472021631","0.002931246465008946","4.22162124137783E-05"
"","","8","Neptune","0.5","29.39285709399881","-5.611378993379994","-0.5619146152020422","0.0005748701604789688","0.003106878190555312","-7.71797149619664E-05"
