"info","date","|","|__name","|__size","|__r__001","|__r__002","|__r__003","|__v__001","|__v__002","|__v__003"
"Data for errors 2019-03-01","2019-03-01","1","Mercury","0.1","-0.05561352428680436","0.3052592046897746","0.03004562165796432","-0.03332364908113305","-0.004016844424899341","0.00272879985891525"
"","","2","Venus","0.15","-0.4125965927910478","-0.5952718004604804","0.0156421109657874","0.01648304184248424","-0.01161495096287509","-0.001110569298837412"
"","","3","Earth","0.2","-0.9299996337570842","0.3413356791179566","-1.28161626608061E-05","-0.006208254819297722","-0.01621569542829281","7.53139312893068E-07"
"","","4","Mars","0.25","0.4322668916691801","1.466263650889918","0.02011681203046398","-0.0128936877757362","0.005146986796189169","0.0004242223101589922"
"","","5","Jupiter","0.5","-1.724281800069204","-5.045342574195322","0.05953682148016758","0.007056353884945335","-0.00208667680985558","-0.0001492229728905102"
"","","6","Saturn","0.5","2.263705900517189","-9.799135366111729","0.08023525976638017","0.005136184832430542","0.001237071373137062","-0.0002258811596439049"
"","","7","Uranus","0.5","16.89397350097361","10.43027554332498","-0.1800362520971094","-0.00208811268704037","0.003161176343139771","3.86925277073709E-05"
"","","8","Neptune","0.5","29.02736560936626","-7.308161469085525","-0.5185486277272763","0.0007530016897306461","0.003061556952754386","-8.04527384945635E-05"
